mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
363.0179_2.025,13370.139181818182,501.33889363636365,26.668864816851713,1.63e-5,4.737084511528973,4.787812395596042
377.0534_3.749,38573.07525454545,1867.9873818181818,20.64953737374866,1.93e-5,4.36803755517252,4.714442690992226
381.0996_3.658,29709.677363636365,1216.74477,24.417345441835238,1.46e-4,4.609834459583339,3.835647144215563
397.0538_5.353,3199.9139,764.5099613636364,4.185575154955989,6.47e-5,2.065425882319006,4.189095719331299
397.095_1.037,2967.3508500000003,1100.9222272727272,2.695331946699728,0.0265,1.4304629606834278,1.576754126063192
429.0822_4.539,109153.74381818181,1007.5001413636364,108.34116972970727,2.89e-8,6.759437762160586,7.539102157243452
431.098_4.31,98197.84127272727,817.9547981818182,120.05289472108392,3.68e-8,6.907526380093606,7.434152181326482
433.1135_3.943,260248.4269090909,1747.0650245454544,148.96321731173197,6.12e-8,7.21881232748839,7.213248577854439
433.1231_0.804,2595.429618181818,1346.2674295454544,1.9278707641750816,0.0255,0.9470083429927236,1.5934598195660448
434.1238_0.757,2200.644209090909,1442.9254131818182,1.5251267937947208,0.0318,0.6089291883639043,1.4975728800155672
440.9939_1.065,22475.037254545456,1151.9404154545455,19.510590090440576,2.41e-6,4.286185507261684,5.617982957425132
445.077_4.149,50222.32,1097.1213386363636,45.77644990701068,2.97e-8,5.516533677043817,7.527243550682788
447.0927_4.077,55206.862636363636,20754.892981818182,2.6599444615169183,0.0294,1.411396123196163,1.5316526695878427
449.108_4.523,10485.389170454546,656.5372586363636,15.97074504535026,8.04e-5,3.9973597118418875,4.094743951251549
459.0923_4.329,62387.524454545455,564.252400909091,110.56669737519995,9.54e-12,6.788773101870271,11.020451625295905
467.1357_3.676,12963.107690909092,1687.3810290909091,7.682383212458585,4.97e-4,2.941553930143976,3.303643611266668
469.1705_0.528,10540.799918181818,5967.737518181818,1.7662975099134837,0.0257,0.8207283667275042,1.5900668766687054
477.1233_1.01,2732.962777272727,589.0432222727272,4.6396642452281105,0.00183,2.214020406803122,2.7375489102695707
492.1522_3.718,9381.7616,1276.4952609090908,7.349625092472747,7.72e-4,2.877670659333313,3.112382699664264
497.1106_3.715,22822.518283636364,1196.1492472727273,19.07999217963202,3.68e-4,4.253988674909591,3.4341521813264824
504.1358_1.245,22110.893454545454,1083.8850781818182,20.39966588675227,3.29e-7,4.35047361828644,6.482804102050026
509.039_6.64,25168.313118181817,501.33889363636365,50.20219543636118,6.1e-10,5.649678552208686,9.214670164989233
513.07_3.923,37836.892461363634,2721.6573209090907,13.902151520208767,0.0346,3.7972362690112544,1.4609239012072235
531.0208_5.949,39144.15922727273,501.33889363636365,78.07923886245534,8.27e-11,6.286867084075133,10.082494490447454
531.0967_3.961,2505.1659363636363,1281.1629545454546,1.9553843072620276,0.00168,0.9674521797543452,2.774690718274137
615.3123_0.522,6207.198963636363,3141.9854090909093,1.9755658144295238,0.0347,0.9822659093727742,1.4596705252091262
621.1088_7.531,12892.898481818182,501.33889363636365,25.7169324891234,6.14e-9,4.684646663422024,8.211831628858832
621.1629_3.937,17367.095536363635,611.1665481818181,28.41630581390563,3.05e-5,4.828647107934888,4.515700160653214
628.2092_3.413,889.5089540909091,567.9761731818182,1.566102586852993,0.0184,0.6471787188208948,1.7351821769904636
636.2293_3.934,5798.474379545454,549.5457027272728,10.551396090932782,8.93e-5,3.3993619943137627,4.049148541111453
646.1225_3.879,52463.28026363636,679.0340563636364,77.26163330391373,0.00118,6.271680271221765,2.9281179926938745
674.2293_1.21,13898.560981818182,1297.674290909091,10.710361667164946,1.58e-6,3.4209352926800665,5.801342913045578
688.2445_1.123,8589.638892727273,548.554695,15.658673548910691,1.76e-5,3.968890101548258,4.7544873321858505
703.0841_8.109,49988.84081818182,548.1933436363636,91.18833965875592,1.76e-9,6.51077745226,8.75448733218585
712.2431_1.025,16878.908545454546,501.33889363636365,33.66766225342439,1.69e-6,5.073291644610077,5.772113295386326
